neighbourhood_group,neighbourhood,room_type,price_per_night,minimum_nights_to_book,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Greenpoint,Entire home/apt,165,5,201,4.7,2,212
Manhattan,West Village,Entire home/apt,175,2,19,1.45,1,3
Brooklyn,Flatbush,Private room,36,6,1,0.03,1,0
Brooklyn,Sea Gate,Entire home/apt,125,10,1,1.0,1,180
Manhattan,Chelsea,Private room,110,3,6,0.84,1,12
Queens,Sunnyside,Entire home/apt,105,2,48,1.42,1,13
Manhattan,East Harlem,Private room,150,3,73,1.85,1,32
Manhattan,Inwood,Private room,45,5,30,0.94,2,0
Manhattan,Greenwich Village,Private room,130,3,11,0.55,1,0
Manhattan,Washington Heights,Private room,160,3,6,0.44,3,123
Brooklyn,Williamsburg,Private room,75,3,6,0.16,1,0
Queens,Long Island City,Entire home/apt,130,3,2,1.43,2,0
Manhattan,Financial District,Private room,100,3,3,0.19,1,0
Manhattan,Chinatown,Entire home/apt,249,31,6,0.09,1,365
Manhattan,Harlem,Entire home/apt,125,2,1,0.04,1,0
Manhattan,Upper East Side,Entire home/apt,249,3,55,1.75,2,1
Brooklyn,Williamsburg,Private room,60,3,31,0.77,1,147
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,121,2.69,1,287
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,2,0.78,1,92
Manhattan,East Village,Entire home/apt,90,5,21,1.1,1,83
Manhattan,Tribeca,Entire home/apt,285,2,124,1.7,1,131
Brooklyn,Greenpoint,Private room,75,7,1,0.03,1,0
Manhattan,Midtown,Entire home/apt,189,4,16,2.11,1,323
Queens,Astoria,Private room,47,15,23,0.83,2,31
Brooklyn,Greenpoint,Entire home/apt,170,2,12,0.53,1,3
Brooklyn,East Flatbush,Private room,68,1,18,1.06,1,152
Manhattan,East Harlem,Private room,45,1,3,0.08,1,0
Bronx,Mott Haven,Entire home/apt,65,2,15,3.26,1,51
Manhattan,Harlem,Private room,30,5,3,0.12,1,0
Brooklyn,Williamsburg,Private room,60,3,2,0.25,1,0
Brooklyn,Crown Heights,Entire home/apt,75,30,101,2.06,1,62
Manhattan,East Village,Entire home/apt,179,4,127,1.83,1,17
Manhattan,Greenwich Village,Entire home/apt,165,3,14,0.69,1,0
Manhattan,Upper West Side,Private room,82,1,7,2.44,1,178
Queens,Jackson Heights,Entire home/apt,105,1,64,3.6,1,314
Manhattan,Morningside Heights,Entire home/apt,194,5,29,0.75,1,102
Brooklyn,Gowanus,Entire home/apt,225,2,113,5.88,2,67
Brooklyn,DUMBO,Entire home/apt,100,2,2,0.79,1,0
Brooklyn,Park Slope,Private room,45,5,42,0.64,2,221
Brooklyn,Bedford-Stuyvesant,Private room,41,3,1,1.0,1,57
Manhattan,Harlem,Entire home/apt,165,2,90,2.58,1,35
Manhattan,Gramercy,Entire home/apt,200,30,38,0.65,1,170
Brooklyn,Bedford-Stuyvesant,Private room,75,3,5,0.13,1,301
Brooklyn,Clinton Hill,Entire home/apt,145,3,2,0.06,1,0
Brooklyn,Greenpoint,Private room,69,2,25,0.47,2,125
Manhattan,Morningside Heights,Private room,128,1,33,0.85,2,235
Manhattan,East Village,Private room,90,3,28,2.26,1,6
Brooklyn,Williamsburg,Private room,100,30,5,0.09,1,296
Brooklyn,Bedford-Stuyvesant,Entire home/apt,95,7,4,0.21,1,1
Manhattan,Gramercy,Entire home/apt,148,4,10,0.52,1,0
Manhattan,Lower East Side,Private room,70,1,3,0.07,1,0
Manhattan,Upper East Side,Entire home/apt,243,1,26,1.1,1,149
Manhattan,Harlem,Private room,72,3,154,2.72,2,153
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,5,16,0.58,1,15
Queens,Astoria,Entire home/apt,250,3,3,0.16,1,1
Brooklyn,Bedford-Stuyvesant,Entire home/apt,177,4,82,2.22,1,73
Brooklyn,Prospect-Lefferts Gardens,Private room,89,1,52,1.44,1,188
Brooklyn,Bergen Beach,Entire home/apt,95,2,41,2.04,2,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,169,3,11,0.93,2,0
Manhattan,Chelsea,Private room,105,1,158,3.08,1,105
Manhattan,East Village,Private room,99,1,2,0.05,1,0
Manhattan,East Harlem,Entire home/apt,135,2,2,1.67,2,2
Brooklyn,Bushwick,Entire home/apt,149,2,234,3.9,1,255
Brooklyn,Bushwick,Private room,45,3,1,0.02,1,0
Queens,Far Rockaway,Entire home/apt,63,1,11,4.52,1,129
Brooklyn,Bushwick,Entire home/apt,50,15,3,0.13,1,7
Brooklyn,Navy Yard,Entire home/apt,94,3,5,0.14,1,0
Brooklyn,Williamsburg,Entire home/apt,200,5,11,0.92,1,0
Bronx,Port Morris,Entire home/apt,115,5,7,0.23,1,7
Brooklyn,Bedford-Stuyvesant,Private room,80,3,5,0.27,3,65
Brooklyn,Red Hook,Shared room,30,1,1,0.05,1,0
Manhattan,Hell's Kitchen,Private room,69,6,2,0.08,1,0
Manhattan,Chinatown,Entire home/apt,212,1,1,1.0,1,0
Queens,Woodside,Entire home/apt,136,2,17,2.25,1,348
Manhattan,Chelsea,Entire home/apt,299,3,76,5.82,1,91
Manhattan,East Harlem,Entire home/apt,200,5,8,0.26,1,19
Manhattan,East Village,Private room,100,1,1,0.02,1,0
Manhattan,Hell's Kitchen,Entire home/apt,215,3,2,0.04,1,0
Brooklyn,East Flatbush,Entire home/apt,105,1,43,1.17,1,13
Brooklyn,Williamsburg,Entire home/apt,295,2,1,1.0,3,321
Brooklyn,Crown Heights,Private room,89,3,147,2.05,1,362
Manhattan,Upper West Side,Private room,67,2,5,0.21,1,0
Manhattan,Washington Heights,Entire home/apt,99,7,3,0.04,1,0
Brooklyn,Crown Heights,Shared room,45,4,11,0.19,2,0
Brooklyn,Bedford-Stuyvesant,Private room,47,2,4,0.31,1,0
Brooklyn,Williamsburg,Private room,90,2,2,2.0,1,10
Brooklyn,Bensonhurst,Private room,42,8,26,1.04,1,43
Manhattan,Chinatown,Private room,89,3,7,0.18,1,317
Brooklyn,Bushwick,Entire home/apt,79,2,4,0.86,2,0
Manhattan,Hell's Kitchen,Private room,94,3,11,0.78,2,0
Manhattan,Nolita,Entire home/apt,250,1,23,0.95,1,0
Queens,Forest Hills,Private room,50,7,2,0.15,1,140
Manhattan,Harlem,Private room,175,3,89,1.41,1,324
Manhattan,Chelsea,Entire home/apt,128,1,6,0.19,1,0
Manhattan,Washington Heights,Private room,70,2,248,4.65,1,12
Brooklyn,Clinton Hill,Private room,75,2,1,0.03,2,0
Brooklyn,Bushwick,Private room,125,3,1,0.06,3,1
Manhattan,Theater District,Private room,100,1,36,1.18,1,0
Manhattan,West Village,Entire home/apt,225,2,17,1.54,2,0
Brooklyn,Park Slope,Entire home/apt,80,5,2,0.11,1,0
Brooklyn,Bedford-Stuyvesant,Private room,45,10,8,0.96,1,61
Bronx,Fordham,Entire home/apt,65,1,9,0.25,1,0
Brooklyn,Bedford-Stuyvesant,Private room,55,2,20,1.7,3,353
Brooklyn,Windsor Terrace,Entire home/apt,300,2,24,0.39,1,23
Brooklyn,Prospect Heights,Entire home/apt,150,3,18,0.26,1,68
Manhattan,East Harlem,Private room,65,2,11,0.83,1,365
Manhattan,Upper East Side,Private room,60,1,27,0.88,2,0
Manhattan,Washington Heights,Private room,70,2,10,2.13,1,152
Brooklyn,Cobble Hill,Entire home/apt,145,1,67,3.63,2,146
Queens,Flushing,Private room,55,1,474,5.53,3,332
Brooklyn,Williamsburg,Entire home/apt,150,30,105,0.9,1,30
Brooklyn,Brownsville,Entire home/apt,100,4,29,1.57,1,281
Queens,Jackson Heights,Private room,45,3,12,1.67,1,0
Brooklyn,Carroll Gardens,Private room,225,3,1,0.48,1,178
Queens,Flushing,Entire home/apt,109,1,176,5.07,2,316
Manhattan,Upper East Side,Entire home/apt,160,5,14,1.22,1,92
Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,3,92,1.45,1,248
Manhattan,East Village,Private room,125,1,73,1.51,1,154
Brooklyn,Bedford-Stuyvesant,Entire home/apt,189,3,77,3.66,1,17
Brooklyn,Williamsburg,Entire home/apt,250,6,1,0.04,1,0
Manhattan,Lower East Side,Entire home/apt,90,26,1,0.04,1,0
Manhattan,Kips Bay,Entire home/apt,250,28,5,0.13,1,0
Manhattan,Midtown,Private room,50,1,18,1.01,1,0
Brooklyn,Bushwick,Entire home/apt,140,5,3,0.1,1,7
Brooklyn,Bedford-Stuyvesant,Private room,90,1,32,3.06,1,36
Brooklyn,Park Slope,Entire home/apt,140,2,89,2.11,1,9
Brooklyn,Clinton Hill,Entire home/apt,120,1,1,0.05,1,57
Brooklyn,Brooklyn Heights,Private room,120,1,4,0.2,2,0
Manhattan,Washington Heights,Private room,75,2,4,1.9,1,0
Manhattan,Hell's Kitchen,Entire home/apt,220,5,49,1.15,2,251
Bronx,Morrisania,Private room,60,5,4,0.16,1,175
Brooklyn,Sheepshead Bay,Entire home/apt,80,1,42,2.11,1,28
Brooklyn,Prospect-Lefferts Gardens,Private room,59,3,6,0.66,1,0
Manhattan,Greenwich Village,Entire home/apt,159,5,22,0.46,1,22
Brooklyn,Bushwick,Private room,55,1,36,2.07,1,26
Manhattan,Lower East Side,Entire home/apt,126,3,4,0.19,1,3
Manhattan,Harlem,Entire home/apt,119,7,6,0.43,1,201
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,1,68,6.26,1,261
Brooklyn,Bushwick,Entire home/apt,85,5,2,0.04,1,0
Brooklyn,Bedford-Stuyvesant,Private room,65,1,71,1.61,1,0
Brooklyn,Fort Hamilton,Entire home/apt,130,4,4,0.22,3,324
Queens,Sunnyside,Entire home/apt,94,7,27,0.4,1,0
Brooklyn,Bedford-Stuyvesant,Private room,60,2,9,0.4,3,72
Brooklyn,Bedford-Stuyvesant,Private room,60,2,2,0.49,1,0
Brooklyn,Bedford-Stuyvesant,Private room,60,1,7,0.36,1,0
Brooklyn,Bedford-Stuyvesant,Private room,89,1,3,0.45,1,48
Brooklyn,Bedford-Stuyvesant,Private room,48,4,7,0.31,1,2
Manhattan,Chelsea,Private room,84,4,14,0.82,1,13
Manhattan,Lower East Side,Entire home/apt,175,5,56,0.79,1,263
Manhattan,Hell's Kitchen,Entire home/apt,175,1,33,0.44,1,0
Brooklyn,Cypress Hills,Private room,42,3,28,0.74,2,355
Manhattan,Harlem,Entire home/apt,145,4,17,3.09,3,265
Brooklyn,Fort Greene,Private room,57,28,2,0.11,2,77
Manhattan,Greenwich Village,Entire home/apt,175,3,3,0.12,1,0
Manhattan,Chinatown,Private room,125,3,4,0.31,3,90
Manhattan,Upper East Side,Entire home/apt,105,45,20,0.26,1,109
Manhattan,East Village,Private room,95,30,7,0.2,1,238
Manhattan,Chelsea,Entire home/apt,200,2,24,1.14,1,20
Manhattan,Chinatown,Private room,80,2,152,5.01,1,105
Brooklyn,Flatbush,Entire home/apt,69,5,1,0.34,1,0
Brooklyn,Clinton Hill,Private room,70,7,2,0.88,1,89
Manhattan,Upper West Side,Entire home/apt,85,4,17,0.55,1,0
Brooklyn,Greenpoint,Entire home/apt,149,7,7,0.15,1,0
Manhattan,Midtown,Entire home/apt,299,3,8,2.89,1,306
Manhattan,East Village,Entire home/apt,150,2,2,0.09,1,0
Brooklyn,Crown Heights,Entire home/apt,64,20,70,0.73,1,3
Bronx,Longwood,Entire home/apt,89,1,185,4.52,3,104
Queens,Rego Park,Private room,60,2,12,1.45,2,19
Brooklyn,Williamsburg,Entire home/apt,239,3,5,0.13,1,0
Manhattan,East Village,Entire home/apt,185,7,21,0.4,1,27
Brooklyn,Gowanus,Entire home/apt,185,3,93,2.58,1,77
Brooklyn,Brooklyn Heights,Private room,50,10,4,0.25,1,0
Manhattan,Chelsea,Entire home/apt,134,3,1,0.04,1,0
Manhattan,Inwood,Private room,55,4,142,1.68,2,179
Brooklyn,Crown Heights,Entire home/apt,170,3,1,0.03,1,354
Manhattan,Harlem,Entire home/apt,100,2,193,4.17,1,213
Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,1,272
Brooklyn,Crown Heights,Private room,75,6,3,0.16,3,0
Manhattan,Upper West Side,Entire home/apt,180,1,2,0.04,1,0
Brooklyn,Red Hook,Entire home/apt,90,7,3,0.13,1,215
Queens,Astoria,Entire home/apt,112,7,5,0.1,1,0
Manhattan,Upper East Side,Private room,55,21,2,0.25,1,131
Brooklyn,Williamsburg,Shared room,115,3,1,1.0,2,66
Manhattan,East Harlem,Private room,85,3,86,2.28,2,240
Manhattan,East Harlem,Entire home/apt,225,5,6,0.38,1,0
Brooklyn,Bedford-Stuyvesant,Private room,50,1,24,1.3,1,354
Queens,Ridgewood,Entire home/apt,200,7,10,0.77,1,365
Brooklyn,Williamsburg,Private room,58,2,1,0.03,1,0
Queens,Flushing,Private room,50,1,71,1.57,3,83
Brooklyn,Park Slope,Entire home/apt,140,2,24,0.38,1,255
Brooklyn,Sheepshead Bay,Private room,65,2,11,0.77,2,156
Manhattan,Harlem,Private room,65,6,1,0.03,1,0
Brooklyn,Windsor Terrace,Private room,50,2,1,1.0,1,0
Manhattan,Upper West Side,Entire home/apt,300,2,1,0.22,1,188
Brooklyn,Flatbush,Entire home/apt,90,3,2,0.33,1,0
Manhattan,Upper West Side,Entire home/apt,195,1,3,0.08,1,0
Manhattan,East Village,Entire home/apt,194,2,36,0.74,1,0
Manhattan,West Village,Entire home/apt,285,30,1,1.0,2,179
Staten Island,Great Kills,Private room,50,2,4,0.3,3,84
Manhattan,West Village,Entire home/apt,115,30,7,0.13,1,251
Manhattan,Upper West Side,Private room,44,2,1,0.55,1,0
Brooklyn,Canarsie,Private room,68,2,3,0.47,3,365
Brooklyn,Williamsburg,Entire home/apt,250,1,7,0.12,1,170
Brooklyn,Williamsburg,Entire home/apt,285,2,53,1.2,1,13
Manhattan,SoHo,Entire home/apt,275,5,6,0.37,3,0
Manhattan,Upper West Side,Private room,89,3,1,0.02,2,0
Manhattan,Washington Heights,Private room,45,1,13,2.45,1,87
Manhattan,Financial District,Private room,80,1,1,0.06,1,0
Brooklyn,Bensonhurst,Private room,35,3,1,0.05,2,61
Manhattan,East Village,Private room,150,2,3,0.21,1,0
Staten Island,Clifton,Entire home/apt,75,1,1,0.02,1,0
Brooklyn,Williamsburg,Entire home/apt,185,3,8,0.17,1,0
Manhattan,Midtown,Private room,150,7,44,0.74,3,365
Queens,Astoria,Entire home/apt,125,2,2,2.0,1,22
Manhattan,Upper West Side,Entire home/apt,187,3,1,0.02,1,0
Queens,Ditmars Steinway,Entire home/apt,100,1,9,1.03,1,2
Manhattan,Lower East Side,Private room,69,1,10,0.27,2,187
Manhattan,Washington Heights,Private room,70,1,31,2.53,2,4
Brooklyn,Clinton Hill,Entire home/apt,150,5,7,0.38,1,14
Brooklyn,Williamsburg,Entire home/apt,264,2,5,5.0,1,327
Queens,Astoria,Shared room,30,1,7,4.12,1,320
Manhattan,West Village,Entire home/apt,200,4,4,0.07,1,0
Manhattan,Harlem,Private room,89,2,22,2.84,1,0
Brooklyn,Bedford-Stuyvesant,Private room,40,1,1,0.02,1,0
Brooklyn,Bushwick,Entire home/apt,150,7,1,0.39,1,88
Brooklyn,Williamsburg,Entire home/apt,90,4,1,0.02,1,0
Manhattan,Harlem,Private room,43,1,6,0.57,2,90
Manhattan,Inwood,Entire home/apt,120,7,1,0.09,1,172
Queens,Long Island City,Private room,75,1,8,0.82,1,3
Brooklyn,Greenpoint,Private room,60,6,3,0.16,1,0
Brooklyn,Cypress Hills,Entire home/apt,135,2,3,3.0,1,43
Brooklyn,Crown Heights,Entire home/apt,200,1,25,1.07,1,2
Manhattan,East Harlem,Private room,71,30,19,0.35,3,0
Manhattan,Harlem,Private room,98,2,94,4.65,1,117
Queens,Long Island City,Private room,66,7,1,0.02,1,0
Queens,Ozone Park,Entire home/apt,90,7,2,0.22,1,90
Queens,Jamaica,Private room,60,1,37,4.17,1,0
Brooklyn,Williamsburg,Private room,75,2,2,0.04,1,0
Manhattan,Hell's Kitchen,Entire home/apt,165,2,11,1.04,1,2
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,200,4,1,0.07,1,21
Manhattan,Kips Bay,Entire home/apt,148,5,29,0.37,1,188
Brooklyn,Williamsburg,Private room,100,2,4,1.85,1,169
Manhattan,East Village,Private room,100,10,8,0.34,1,0
Queens,Ditmars Steinway,Private room,47,2,14,0.28,1,0
Brooklyn,Canarsie,Entire home/apt,80,3,13,0.86,1,0
Manhattan,East Harlem,Private room,180,2,3,3.0,1,327
Brooklyn,Bushwick,Entire home/apt,150,2,15,0.59,2,0
Brooklyn,Crown Heights,Private room,31,14,2,0.34,1,0
Manhattan,Inwood,Entire home/apt,85,3,3,0.07,1,0
Brooklyn,South Slope,Private room,70,1,3,0.06,1,363
Manhattan,Washington Heights,Private room,36,2,10,0.2,1,0
Brooklyn,Bedford-Stuyvesant,Private room,70,1,90,5.99,3,31
Manhattan,Kips Bay,Private room,69,15,25,1.1,1,29
Brooklyn,Bath Beach,Private room,50,4,36,2.19,2,316
Queens,Flushing,Private room,100,1,34,1.65,2,189
Brooklyn,Crown Heights,Private room,75,3,29,0.85,1,67
Brooklyn,Bedford-Stuyvesant,Entire home/apt,188,3,38,0.54,1,261
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,82,3,14,3.21,1,75
Manhattan,Chelsea,Private room,120,1,4,0.56,1,5
Manhattan,East Village,Private room,60,1,1,0.03,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,2,3
Brooklyn,Flatbush,Entire home/apt,65,4,11,1.46,1,19
Manhattan,Greenwich Village,Entire home/apt,210,2,193,4.13,1,169
Brooklyn,Williamsburg,Entire home/apt,90,30,15,0.18,1,0
Manhattan,Greenwich Village,Entire home/apt,230,1,2,0.57,1,83
Manhattan,Harlem,Private room,135,5,1,0.64,3,320
Brooklyn,Bedford-Stuyvesant,Private room,100,2,8,0.38,1,0
Brooklyn,Bushwick,Private room,46,2,55,1.24,1,346
Manhattan,East Village,Private room,45,1,1,0.02,1,0
Manhattan,Chinatown,Private room,95,14,3,0.11,1,28
Queens,Glendale,Private room,49,1,1,0.79,1,70
Brooklyn,Crown Heights,Entire home/apt,220,1,1,0.03,2,0
Brooklyn,Flatbush,Private room,40,7,1,1.0,1,11
Brooklyn,Bedford-Stuyvesant,Private room,45,4,30,0.77,1,286
Manhattan,Nolita,Private room,75,1,8,0.28,1,0
Manhattan,Hell's Kitchen,Entire home/apt,220,1,3,3.0,1,52
Manhattan,Lower East Side,Entire home/apt,140,1,144,3.63,1,98
Queens,Laurelton,Entire home/apt,254,3,2,1.46,1,24
Brooklyn,South Slope,Entire home/apt,129,5,1,0.03,1,0
Manhattan,East Village,Private room,85,2,57,2.36,1,56
Queens,Jamaica Estates,Entire home/apt,75,7,1,0.91,2,14
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,3,2,0.11,1,0
Manhattan,East Harlem,Private room,90,1,295,4.99,2,155
Manhattan,Upper East Side,Entire home/apt,160,7,1,0.03,1,0
Brooklyn,Brooklyn Heights,Entire home/apt,103,2,13,0.45,1,0
Brooklyn,Bushwick,Entire home/apt,89,1,8,5.58,1,305
Brooklyn,Sunset Park,Private room,70,2,45,0.6,3,0
Brooklyn,Greenpoint,Private room,48,7,2,0.14,1,0
Manhattan,Upper West Side,Private room,130,2,2,0.94,1,150
Manhattan,Washington Heights,Entire home/apt,160,1,3,3.0,1,75
Brooklyn,Sunset Park,Private room,35,1,27,1.5,1,35
Queens,Richmond Hill,Private room,60,1,26,1.09,1,0
Manhattan,West Village,Entire home/apt,95,5,4,0.09,1,0
Manhattan,Washington Heights,Private room,52,1,46,2.73,1,21
Manhattan,Inwood,Entire home/apt,175,3,6,0.13,1,0
Manhattan,East Harlem,Entire home/apt,85,1,2,0.05,1,0
Brooklyn,Fort Hamilton,Entire home/apt,160,2,4,0.42,1,313
Manhattan,Financial District,Entire home/apt,130,365,6,0.1,1,262
Manhattan,Upper West Side,Entire home/apt,118,1,2,0.1,1,0
Brooklyn,Greenpoint,Private room,70,7,3,0.06,1,0
Brooklyn,Williamsburg,Private room,96,2,9,0.77,1,0
Manhattan,Upper East Side,Private room,199,1,49,1.11,1,230
Brooklyn,Boerum Hill,Entire home/apt,200,20,11,0.46,1,32
Staten Island,West Brighton,Entire home/apt,99,2,3,0.36,1,364
Brooklyn,Clinton Hill,Entire home/apt,155,3,161,3.94,1,251
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,9,3.18,1,24
Manhattan,Upper East Side,Private room,154,4,5,0.22,1,27
Queens,Jackson Heights,Private room,62,2,55,2.31,1,318
Brooklyn,Cobble Hill,Entire home/apt,170,2,5,2.31,1,43
Queens,Astoria,Private room,55,1,94,2.91,2,0
Manhattan,East Harlem,Entire home/apt,220,4,60,0.85,1,332
Brooklyn,Bedford-Stuyvesant,Private room,35,1,5,0.46,3,59
Brooklyn,Sheepshead Bay,Private room,36,7,3,0.24,2,29
Manhattan,Morningside Heights,Private room,76,2,126,3.4,1,12
Queens,Bayswater,Private room,70,1,13,0.21,1,220
Brooklyn,Bedford-Stuyvesant,Private room,60,1,145,3.26,3,313
Queens,Woodside,Private room,31,1,1,0.11,1,0
Brooklyn,Greenpoint,Entire home/apt,180,1,2,2.0,1,365
Manhattan,Harlem,Private room,55,3,100,4.69,1,11
Manhattan,Financial District,Entire home/apt,130,2,77,4.7,1,85
Manhattan,Lower East Side,Private room,89,3,68,1.38,1,252
Staten Island,Clifton,Entire home/apt,120,1,82,2.26,1,310
Manhattan,Hell's Kitchen,Private room,93,1,1,0.75,1,0
Manhattan,Upper West Side,Entire home/apt,140,2,18,2.09,1,0
Bronx,Mott Haven,Entire home/apt,115,2,36,3.12,1,114
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,21,0.23,3,43
Manhattan,Hell's Kitchen,Entire home/apt,223,3,3,3.0,1,25
Brooklyn,East Flatbush,Private room,70,2,13,0.66,1,264
Manhattan,Midtown,Entire home/apt,210,2,7,0.68,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,4,9,0.22,1,1
Manhattan,SoHo,Private room,199,3,107,2.69,2,276
Manhattan,Harlem,Private room,60,1,458,4.58,2,258
Brooklyn,Flatbush,Private room,60,1,54,6.78,1,317
Brooklyn,Gravesend,Entire home/apt,90,7,32,0.83,1,71
Brooklyn,Prospect Heights,Entire home/apt,100,5,1,0.06,1,0
Manhattan,Harlem,Entire home/apt,150,1,2,0.07,3,0
Brooklyn,Carroll Gardens,Entire home/apt,110,3,7,2.08,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,207,3.04,1,237
Manhattan,Upper East Side,Entire home/apt,120,3,38,3.37,2,5
Brooklyn,Bedford-Stuyvesant,Shared room,35,7,1,0.37,1,344
Manhattan,Midtown,Entire home/apt,116,2,28,4.57,1,99
Bronx,Parkchester,Shared room,26,1,18,0.78,2,342
Queens,Jamaica,Private room,60,2,42,1.65,2,0
Brooklyn,Williamsburg,Private room,75,3,1,0.02,1,0
Brooklyn,Williamsburg,Entire home/apt,191,3,156,2.08,1,21
Brooklyn,Greenpoint,Private room,50,5,1,0.06,1,0
Brooklyn,Williamsburg,Entire home/apt,134,4,46,0.89,1,32
Queens,Rego Park,Private room,66,1,24,2.99,2,327
Queens,Ridgewood,Entire home/apt,140,3,13,4.29,1,192
Brooklyn,Crown Heights,Entire home/apt,295,4,7,0.56,2,343
Queens,Maspeth,Private room,45,1,55,3.26,2,27
Manhattan,East Village,Entire home/apt,250,2,12,0.26,1,0
Bronx,Concourse Village,Private room,100,2,54,1.32,1,0
Brooklyn,Bushwick,Private room,45,1,158,4.93,2,201
Brooklyn,Bedford-Stuyvesant,Private room,60,1,23,1.01,3,0
Brooklyn,Bedford-Stuyvesant,Private room,45,25,1,0.05,1,19
Manhattan,West Village,Entire home/apt,154,2,4,0.59,1,12
Brooklyn,Fort Greene,Entire home/apt,95,1,49,6.77,1,40
Brooklyn,Bushwick,Entire home/apt,157,3,70,3.06,1,223
Brooklyn,Greenpoint,Entire home/apt,159,1,3,0.1,1,0
Manhattan,Morningside Heights,Private room,49,1,1,0.03,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,30,0.32,3,11
Brooklyn,Bedford-Stuyvesant,Private room,80,1,3,0.11,1,0
Manhattan,East Village,Private room,80,1,8,0.31,2,0
Brooklyn,Park Slope,Entire home/apt,180,3,6,0.13,1,0
Brooklyn,Flatbush,Entire home/apt,140,1,141,2.41,1,307
Manhattan,West Village,Entire home/apt,199,1,1,0.02,1,0
Manhattan,Upper West Side,Private room,80,1,42,13.13,1,16
Brooklyn,Bedford-Stuyvesant,Private room,65,5,8,0.21,1,0
Brooklyn,Williamsburg,Entire home/apt,219,3,2,0.11,1,0
Bronx,Baychester,Private room,53,3,12,1.2,2,356
Brooklyn,Windsor Terrace,Entire home/apt,50,1,74,2.03,3,236
Manhattan,Financial District,Entire home/apt,135,6,10,0.48,1,160
Queens,Long Island City,Entire home/apt,175,3,22,0.54,1,0
Queens,Sunnyside,Entire home/apt,155,2,2,0.32,1,358
Brooklyn,Bushwick,Private room,100,2,1,0.56,1,89
Brooklyn,Bedford-Stuyvesant,Private room,50,2,6,3.91,2,83
Queens,Flushing,Private room,85,1,12,0.74,1,171
Brooklyn,Bushwick,Private room,50,2,27,0.35,1,2
Manhattan,East Village,Private room,130,1,4,0.11,1,0
Queens,Long Island City,Private room,95,2,126,1.98,1,39
Manhattan,Harlem,Entire home/apt,101,2,8,1.24,3,0
Brooklyn,Williamsburg,Entire home/apt,114,6,2,0.11,1,0
Brooklyn,Prospect Heights,Private room,75,2,7,4.2,1,17
Manhattan,Hell's Kitchen,Entire home/apt,200,6,24,0.7,1,188
Queens,Ridgewood,Entire home/apt,75,3,9,0.45,1,0
Brooklyn,Greenpoint,Private room,100,2,9,0.14,1,0
Manhattan,Greenwich Village,Entire home/apt,180,2,4,0.16,1,0
Manhattan,Midtown,Entire home/apt,200,2,29,1.58,1,18
Bronx,Belmont,Private room,30,3,5,0.23,2,361
Brooklyn,Bedford-Stuyvesant,Private room,50,2,14,2.46,1,5
Brooklyn,Williamsburg,Private room,155,2,42,0.67,1,0
Brooklyn,Greenpoint,Private room,65,1,1,0.35,1,0
Brooklyn,Gowanus,Entire home/apt,100,1,378,9.67,1,48
Bronx,Kingsbridge,Private room,30,4,11,0.35,2,0
Brooklyn,Clinton Hill,Private room,50,2,3,0.12,2,0
Brooklyn,Williamsburg,Entire home/apt,130,30,42,1.06,1,0
Brooklyn,Clinton Hill,Entire home/apt,102,13,6,0.33,1,0
Manhattan,East Village,Entire home/apt,190,2,32,2.74,1,17
Manhattan,Upper West Side,Entire home/apt,110,2,33,1.74,1,6
Queens,Jackson Heights,Entire home/apt,225,2,38,4.01,1,49
Bronx,Morris Park,Private room,39,1,57,2.38,3,39
Brooklyn,Williamsburg,Private room,79,2,134,3.26,1,2
Manhattan,Financial District,Private room,80,2,4,0.27,1,0
Brooklyn,Bushwick,Private room,49,2,38,2.0,1,9
Manhattan,Upper West Side,Entire home/apt,130,3,18,0.39,1,0
Brooklyn,Greenpoint,Entire home/apt,95,1,22,3.71,1,22
Brooklyn,Williamsburg,Private room,75,7,12,0.35,2,359
Brooklyn,Bushwick,Entire home/apt,150,2,40,0.9,1,0
Manhattan,Chelsea,Entire home/apt,190,3,2,0.15,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,159,2,49,3.52,2,336
Manhattan,Harlem,Entire home/apt,130,2,185,3.76,1,300
Brooklyn,East New York,Entire home/apt,70,4,40,0.46,1,273
Manhattan,Morningside Heights,Entire home/apt,135,2,4,0.53,1,22
